,speaker,text,token
0,MRS. MARCH,So youre going to Washington?,"['so', 'youre', 'going', 'to', 'washington']"
1,MRS. MARCH,Oh.,['oh']
2,MRS. MARCH,"Youve done a great deal for your country, sir.","['youve', 'done', 'a', 'great', 'deal', 'for', 'your', 'country', 'sir']"
3,MRS. MARCH,Wait a minute.,"['wait', 'a', 'minute']"
4,MRS. MARCH,Merry Christmas.,"['merry', 'christmas']"
5,MRS. MARCH,"When I see things like that poor old man it makes me ashamed to 
think how little I do.","['when', 'i', 'see', 'things', 'like', 'that', 'poor', 'old', 'man', 'it', 'makes', 'me', 'ashamed', 'to', 'think', 'how', 'little', 'i', 'do']"
6,MRS. MARCH,"Yes, I know.","['yes', 'i', 'know']"
7,MRS. MARCH,I couldnt bear it without them.,"['i', 'couldnt', 'bear', 'it', 'without', 'them']"
8,MRS. MARCH,Meg is a nursery governess.,"['meg', 'is', 'a', 'nursery', 'governess']"
9,MEG,"Remember Lilly, Santa Claus is watching you.","['remember', 'lilly', 'santa', 'claus', 'is', 'watching', 'you']"
10,JO,"We know as well what are the baneful fruits of selfishness and 
self- indulgence.","['we', 'know', 'as', 'well', 'what', 'are', 'the', 'baneful', 'fruits', 'of', 'selfishness', 'and', 'self', 'indulgence']"
11,AUNT MARCH,Hold your tongue!,"['hold', 'your', 'tongue']"
12,JO,"Oh, I didnt think youd mind.","['oh', 'i', 'didnt', 'think', 'youd', 'mind']"
13,AUNT MARCH,Never a thought about my Christmas.,"['never', 'a', 'thought', 'about', 'my', 'christmas']"
14,JO,"Oh, Im sorry, Aunt March.","['oh', 'im', 'sorry', 'aunt', 'march']"
15,AUNT MARCH,Merry Christmas.,"['merry', 'christmas']"
16,JO,"Thank you, Auntie.","['thank', 'you', 'auntie']"
17,AUNT MARCH,Never mind thanking me.,"['never', 'mind', 'thanking', 'me']"
18,JO,"Theres nobody looking after us, and we dont ask favors from 
anybody.","['theres', 'nobody', 'looking', 'after', 'us', 'and', 'we', 'dont', 'ask', 'favors', 'from', 'anybody']"
19,AUNT MARCH,Hoity Toity.,"['hoity', 'toity']"
20,JO,"Oh, Im sorry, Auntie.","['oh', 'im', 'sorry', 'auntie']"
21,AUNT MARCH,It isnt preachers thats going to win this war.,"['it', 'isnt', 'preachers', 'thats', 'going', 'to', 'win', 'this', 'war']"
22,JO,"Yes, Auntie.","['yes', 'auntie']"
23,AUNT MARCH,"Oh, go on.","['oh', 'go', 'on']"
24,JO,"Yes, Auntie.","['yes', 'auntie']"
25,AUNT MARCH,"Did you wash those tea cups and put them away, carefully?","['did', 'you', 'wash', 'those', 'tea', 'cups', 'and', 'put', 'them', 'away', 'carefully']"
26,JO,"Yes, Auntie.","['yes', 'auntie']"
27,AUNT MARCH,You didnt break any?,"['you', 'didnt', 'break', 'any']"
28,JO,"No, Auntie.","['no', 'auntie']"
29,AUNT MARCH,What about the teaspoons?,"['what', 'about', 'the', 'teaspoons']"
30,JO,I polished them.,"['i', 'polished', 'them']"
31,AUNT MARCH,"Oh, very well then.","['oh', 'very', 'well', 'then']"
32,JO,"Yes, Auntie.","['yes', 'auntie']"
33,MR. DAVIS,Thank you very much Ladies.,"['thank', 'you', 'very', 'much', 'ladies']"
34,MR. DAVIS,School is dismissed.,"['school', 'is', 'dismissed']"
35,MR. DAVIS,"Amy March, you may close the door.","['amy', 'march', 'you', 'may', 'close', 'the', 'door']"
36,MR. DAVIS,"I can see theres nothing for me to do but stop by and show you 
mother how, instead of doing your sums, you cover your slate with 
sketches_c and most uncomplimentary sketches.","['i', 'can', 'see', 'theres', 'nothing', 'for', 'me', 'to', 'do', 'but', 'stop', 'by', 'and', 'show', 'you', 'mother', 'how', 'instead', 'of', 'doing', 'your', 'sums', 'you', 'cover', 'your', 'slate', 'with', 'sketches', 'c', 'and', 'most', 'uncomplimentary', 'sketches']"
37,AMY,"Oh, please Mr. Davis.","['oh', 'please', 'mr', 'davis']"
38,MR. DAVIS,"Well, I should hate to spoil her Christmas.","['well', 'i', 'should', 'hate', 'to', 'spoil', 'her', 'christmas']"
39,AMY,"Oh, thank you, Mr. Davis.","['oh', 'thank', 'you', 'mr', 'davis']"
40,MR. DAVIS,You may go.,"['you', 'may', 'go']"
41,AMY,"Oh, thank you, Mr. Davis.","['oh', 'thank', 'you', 'mr', 'davis']"
42,AMY,"I just said that if I ever told my mother the way he treated me 
shed take me out of his old school.","['i', 'just', 'said', 'that', 'if', 'i', 'ever', 'told', 'my', 'mother', 'the', 'way', 'he', 'treated', 'me', 'shed', 'take', 'me', 'out', 'of', 'his', 'old', 'school']"
43,BETH,"Oh, Hello.","['oh', 'hello']"
44,HANNAH,"Thank you, Beth.","['thank', 'you', 'beth']"
45,BETH,Are they coming?,"['are', 'they', 'coming']"
46,HANNAH,Just passed the Laurence house.,"['just', 'passed', 'the', 'laurence', 'house']"
47,JO,Christopher Columbus.,"['christopher', 'columbus']"
48,MEG,Joe!,['joe']
49,JO,I dont care.,"['i', 'dont', 'care']"
50,MR. LAURENCE,How do you do?,"['how', 'do', 'you', 'do']"
51,AMY,Makes my knees chatter just to look at him.,"['makes', 'my', 'knees', 'chatter', 'just', 'to', 'look', 'at', 'him']"
52,JO,"I feel sorry for that poor boy shut up all alone with such an old 
ogre for a grandfather.","['i', 'feel', 'sorry', 'for', 'that', 'poor', 'boy', 'shut', 'up', 'all', 'alone', 'with', 'such', 'an', 'old', 'ogre', 'for', 'a', 'grandfather']"
53,AMY,Where?,['where']
54,MEG,"Dont point, Joe.","['dont', 'point', 'joe']"
55,JO,Hes gone anyway.,"['hes', 'gone', 'anyway']"
56,MEG,Jo!,['jo']
57,LAURIE,Hey!,['hey']
58,BETH,Jo.,['jo']
59,JO,Merry Christmas from Aunt March.,"['merry', 'christmas', 'from', 'aunt', 'march']"
60,BETH,For me?,"['for', 'me']"
61,JO,"Yes, darling.","['yes', 'darling']"
62,AMY,"We got one, too.","['we', 'got', 'one', 'too']"
63,MEG,"What are you going to do with it, dear?","['what', 'are', 'you', 'going', 'to', 'do', 'with', 'it', 'dear']"
64,BETH,I dont know.,"['i', 'dont', 'know']"
65,JO,"A dollar couldnt do the army much good, so Im going to buy 
Undine and Sintram.","['a', 'dollar', 'couldnt', 'do', 'the', 'army', 'much', 'good', 'so', 'im', 'going', 'to', 'buy', 'undine', 'and', 'sintram']"
66,MEG,Im sure Marmee would approve if I got some new gloves.,"['im', 'sure', 'marmee', 'would', 'approve', 'if', 'i', 'got', 'some', 'new', 'gloves']"
67,AMY,I should get a nice box of Fabers drawing pencils.,"['i', 'should', 'get', 'a', 'nice', 'box', 'of', 'fabers', 'drawing', 'pencils']"
68,BETH,Then _c Then Id like to spend mine for some new music.,"['then', 'c', 'then', 'id', 'like', 'to', 'spend', 'mine', 'for', 'some', 'new', 'music']"
69,JO,Lets each buy what we want and have a little fun.,"['lets', 'each', 'buy', 'what', 'we', 'want', 'and', 'have', 'a', 'little', 'fun']"
70,MEG,"Well, I know I do.","['well', 'i', 'know', 'i', 'do']"
71,JO,"Well, what would you do if you were shut up all day with a fussy 
old crosspatch who flies off the handle every move you make.","['well', 'what', 'would', 'you', 'do', 'if', 'you', 'were', 'shut', 'up', 'all', 'day', 'with', 'a', 'fussy', 'old', 'crosspatch', 'who', 'flies', 'off', 'the', 'handle', 'every', 'move', 'you', 'make']"
72,AMY,"Joe, dont use slang.","['joe', 'dont', 'use', 'slang']"
73,JO,"""Liable"", ""liable"".","['liable', 'liable']"
74,AMY,"I know what I mean and you neednt be ""statirical"" about it.","['i', 'know', 'what', 'i', 'mean', 'and', 'you', 'neednt', 'be', 'statirical', 'about', 'it']"
75,JO,Arent we elegant?,"['arent', 'we', 'elegant']"
76,AMY,Youd never be thought so with your slang and manners.,"['youd', 'never', 'be', 'thought', 'so', 'with', 'your', 'slang', 'and', 'manners']"
77,JO,I hope not.,"['i', 'hope', 'not']"
78,AMY,"Well, you neednt whistle like a boy.","['well', 'you', 'neednt', 'whistle', 'like', 'a', 'boy']"
79,JO,Thats why I do it.,"['thats', 'why', 'i', 'do', 'it']"
80,AMY,"Oh, I detest rude unladylike girls.","['oh', 'i', 'detest', 'rude', 'unladylike', 'girls']"
81,JO,"I hate affected, niminy-piminy chits.","['i', 'hate', 'affected', 'niminy', 'piminy', 'chits']"
82,BETH,Birds in their little nests agree.,"['birds', 'in', 'their', 'little', 'nests', 'agree']"
83,MEG,"Really, youre both to blame.","['really', 'youre', 'both', 'to', 'blame']"
84,JO,"No, Im not.","['no', 'im', 'not']"
85,MEG,Jo!,['jo']
86,BETH,Look.,['look']
87,MEG,"Youre a dear, and nothing else.","['youre', 'a', 'dear', 'and', 'nothing', 'else']"
88,JO,"Were_cWere three ungrateful wretches, who dont deserve you.","['were', 'cwere', 'three', 'ungrateful', 'wretches', 'who', 'dont', 'deserve', 'you']"
89,AMY,"Well, I cant help it.","['well', 'i', 'cant', 'help', 'it']"
90,JO,"Oh, its easy, if youll only watch me.","['oh', 'its', 'easy', 'if', 'youll', 'only', 'watch', 'me']"
91,AMY,"If I can drop gracefully, Ill...

JO
Now, now.","['if', 'i', 'can', 'drop', 'gracefully', 'ill', 'jo', 'now', 'now']"
92,JO,"Now, now.","['now', 'now']"
93,AMY,Roderigo!,['roderigo']
94,MRS. MARCH,"Glad to find you so merry, my girls.","['glad', 'to', 'find', 'you', 'so', 'merry', 'my', 'girls']"
95,AMY,Darling.,['darling']
96,MRS. MARCH,"Hows your cold, Meg?","['hows', 'your', 'cold', 'meg']"
97,MEG,Much better.,"['much', 'better']"
98,MRS. MARCH,Beth deary.,"['beth', 'deary']"
99,JO,"No, Marmee.","['no', 'marmee']"
100,BETH,Mmm.,['mmm']
101,MRS. MARCH,Oh.,['oh']
102,BETH,"Did you have a hard day, Marmee?","['did', 'you', 'have', 'a', 'hard', 'day', 'marmee']"
103,MRS. MARCH,No.,['no']
104,BETH,A letter from father!,"['a', 'letter', 'from', 'father']"
105,MRS. MARCH,"""Give them all my dear love and a kiss.","['give', 'them', 'all', 'my', 'dear', 'love', 'and', 'a', 'kiss']"
106,AMY,"I_c.I am a selfish girl, but Ill truly try to be better and not 
waste my time in school, so that father maynt be disappointed in 
me.","['i', 'c', 'i', 'am', 'a', 'selfish', 'girl', 'but', 'ill', 'truly', 'try', 'to', 'be', 'better', 'and', 'not', 'waste', 'my', 'time', 'in', 'school', 'so', 'that', 'father', 'maynt', 'be', 'disappointed', 'in', 'me']"
107,JO,"Ill try and be what he loves to call me, a little woman, and 
not be rough and wild; and do my duty here at home instead of 
always wanting to go to war to help father.","['ill', 'try', 'and', 'be', 'what', 'he', 'loves', 'to', 'call', 'me', 'a', 'little', 'woman', 'and', 'not', 'be', 'rough', 'and', 'wild', 'and', 'do', 'my', 'duty', 'here', 'at', 'home', 'instead', 'of', 'always', 'wanting', 'to', 'go', 'to', 'war', 'to', 'help', 'father']"
108,MEG,"Im_c Im not going to be envious anymore, if I can help it.","['im', 'c', 'im', 'not', 'going', 'to', 'be', 'envious', 'anymore', 'if', 'i', 'can', 'help', 'it']"
109,MRS. MARCH,"Now well save the rest till after tea, for its such a lovely 
long letter.","['now', 'well', 'save', 'the', 'rest', 'till', 'after', 'tea', 'for', 'its', 'such', 'a', 'lovely', 'long', 'letter']"
110,BETH,Lets_c.,"['lets', 'c']"
111,JO,"Thats like you, Beth.","['thats', 'like', 'you', 'beth']"
112,MEG,I shall get her a nice pair of gloves.,"['i', 'shall', 'get', 'her', 'a', 'nice', 'pair', 'of', 'gloves']"
113,JO,New slippers!,"['new', 'slippers']"
114,BETH,"Some new handkerchiefs, all hemmed.","['some', 'new', 'handkerchiefs', 'all', 'hemmed']"
115,AMY,A beautiful little bottle of cologne.,"['a', 'beautiful', 'little', 'bottle', 'of', 'cologne']"
116,JO,Im finished with Asia.,"['im', 'finished', 'with', 'asia']"
117,BETH,And heres Europe.,"['and', 'heres', 'europe']"
118,AMY,Three more stitches and you can have Africa.,"['three', 'more', 'stitches', 'and', 'you', 'can', 'have', 'africa']"
119,MRS. MARCH,"Not too long stitches, dear.","['not', 'too', 'long', 'stitches', 'dear']"
120,MEG,"If you pass me the scissors, Ill give you America.","['if', 'you', 'pass', 'me', 'the', 'scissors', 'ill', 'give', 'you', 'america']"
121,MRS. MARCH,"There, you see, you did finish it after all.","['there', 'you', 'see', 'you', 'did', 'finish', 'it', 'after', 'all']"
122,BETH,"Oh, but we never should have if Joe hadnt made a game of it, and 
thought of talking of the different countries as we worked.","['oh', 'but', 'we', 'never', 'should', 'have', 'if', 'joe', 'hadnt', 'made', 'a', 'game', 'of', 'it', 'and', 'thought', 'of', 'talking', 'of', 'the', 'different', 'countries', 'as', 'we', 'worked']"
123,MRS. MARCH,"It was a nice idea, Jo.","['it', 'was', 'a', 'nice', 'idea', 'jo']"
124,JO,I can see us all now.,"['i', 'can', 'see', 'us', 'all', 'now']"
125,MRS. MARCH,"You have real burdens now, instead of rag bags, according to what 
I heard before tea.","['you', 'have', 'real', 'burdens', 'now', 'instead', 'of', 'rag', 'bags', 'according', 'to', 'what', 'i', 'heard', 'before', 'tea']"
126,BETH,"Yes, I have.","['yes', 'i', 'have']"
127,JO,A piano is a burden.,"['a', 'piano', 'is', 'a', 'burden']"
128,MRS. MARCH,"Good night, my precious.","['good', 'night', 'my', 'precious']"
129,MEG,"Good night, Marmee.","['good', 'night', 'marmee']"
130,MRS. MARCH,"Good night, Joe, my girl.","['good', 'night', 'joe', 'my', 'girl']"
131,JO,"Good night, Marmee.","['good', 'night', 'marmee']"
132,AMY,"Good night, darling.","['good', 'night', 'darling']"
133,MRS. MARCH,"Good night, my baby.","['good', 'night', 'my', 'baby']"
134,BETH,"Good night, Marmee.","['good', 'night', 'marmee']"
135,MRS. MARCH,"Good night, Bethy.","['good', 'night', 'bethy']"
136,JO,"Merry Christmas, Hannah.","['merry', 'christmas', 'hannah']"
137,HANNAH,"Oh, Merry Christmas.","['oh', 'merry', 'christmas']"
138,JO,Wheres Marmee?,"['wheres', 'marmee']"
139,HANNAH,She just went down the street.,"['she', 'just', 'went', 'down', 'the', 'street']"
140,JO,Come round here.,"['come', 'round', 'here']"
141,MEG,"Amy, what have you been doing?","['amy', 'what', 'have', 'you', 'been', 'doing']"
142,AMY,"Dont laugh, Jo.","['dont', 'laugh', 'jo']"
143,BETH,Amy!,['amy']
144,MEG,Darling!,['darling']
145,JO,"Youre some pumpkins, Amy.","['youre', 'some', 'pumpkins', 'amy']"
146,AMY,I felt ashamed thinking only of myself.,"['i', 'felt', 'ashamed', 'thinking', 'only', 'of', 'myself']"
147,BETH,"Amy, my prettiest rose.","['amy', 'my', 'prettiest', 'rose']"
148,AMY,"And Im so glad, because mines the handsomest now.","['and', 'im', 'so', 'glad', 'because', 'mines', 'the', 'handsomest', 'now']"
149,JO,Shell be back any minute.,"['shell', 'be', 'back', 'any', 'minute']"
150,AMY,"Oh, Hannah.","['oh', 'hannah']"
151,JO,"Oh, Hannah, what is it?","['oh', 'hannah', 'what', 'is', 'it']"
152,MEG,Sausages.,['sausages']
