,speaker,text,token,target
0,MRS. MARCH,So youre going to Washington?,"['so', 'youre', 'going', 'to', 'washington']",2
1,MRS. MARCH,Oh.,['oh'],2
2,MRS. MARCH,"Youve done a great deal for your country, sir.","['youve', 'done', 'a', 'great', 'deal', 'for', 'your', 'country', 'sir']",4
3,MRS. MARCH,Wait a minute.,"['wait', 'a', 'minute']",2
4,MRS. MARCH,Merry Christmas.,"['merry', 'christmas']",2
5,MRS. MARCH,"When I see things like that poor old man it makes me ashamed to 
think how little I do.","['when', 'i', 'see', 'things', 'like', 'that', 'poor', 'old', 'man', 'it', 'makes', 'me', 'ashamed', 'to', 'think', 'how', 'little', 'i', 'do']",0
6,MRS. MARCH,"Yes, I know.","['yes', 'i', 'know']",2
7,MRS. MARCH,I couldnt bear it without them.,"['i', 'couldnt', 'bear', 'it', 'without', 'them']",4
8,MRS. MARCH,Meg is a nursery governess.,"['meg', 'is', 'a', 'nursery', 'governess']",2
9,MEG,"Remember Lilly, Santa Claus is watching you.","['remember', 'lilly', 'santa', 'claus', 'is', 'watching', 'you']",2
10,JO,"We know as well what are the baneful fruits of selfishness and 
self- indulgence.","['we', 'know', 'as', 'well', 'what', 'are', 'the', 'baneful', 'fruits', 'of', 'selfishness', 'and', 'self', 'indulgence']",2
11,AUNT MARCH,Hold your tongue!,"['hold', 'your', 'tongue']",2
12,JO,"Oh, I didnt think youd mind.","['oh', 'i', 'didnt', 'think', 'youd', 'mind']",0
13,AUNT MARCH,Never a thought about my Christmas.,"['never', 'a', 'thought', 'about', 'my', 'christmas']",0
14,JO,"Oh, Im sorry, Aunt March.","['oh', 'im', 'sorry', 'aunt', 'march']",0
15,AUNT MARCH,Merry Christmas.,"['merry', 'christmas']",2
16,JO,"Thank you, Auntie.","['thank', 'you', 'auntie']",4
17,AUNT MARCH,Never mind thanking me.,"['never', 'mind', 'thanking', 'me']",2
18,JO,"Theres nobody looking after us, and we dont ask favors from 
anybody.","['theres', 'nobody', 'looking', 'after', 'us', 'and', 'we', 'dont', 'ask', 'favors', 'from', 'anybody']",0
19,AUNT MARCH,Hoity Toity.,"['hoity', 'toity']",2
20,JO,"Oh, Im sorry, Auntie.","['oh', 'im', 'sorry', 'auntie']",0
21,AUNT MARCH,It isnt preachers thats going to win this war.,"['it', 'isnt', 'preachers', 'thats', 'going', 'to', 'win', 'this', 'war']",2
22,JO,"Yes, Auntie.","['yes', 'auntie']",4
23,AUNT MARCH,"Oh, go on.","['oh', 'go', 'on']",4
24,JO,"Yes, Auntie.","['yes', 'auntie']",4
25,AUNT MARCH,"Did you wash those tea cups and put them away, carefully?","['did', 'you', 'wash', 'those', 'tea', 'cups', 'and', 'put', 'them', 'away', 'carefully']",2
26,JO,"Yes, Auntie.","['yes', 'auntie']",4
27,AUNT MARCH,You didnt break any?,"['you', 'didnt', 'break', 'any']",2
28,JO,"No, Auntie.","['no', 'auntie']",0
29,AUNT MARCH,What about the teaspoons?,"['what', 'about', 'the', 'teaspoons']",2
30,JO,I polished them.,"['i', 'polished', 'them']",2
31,AUNT MARCH,"Oh, very well then.","['oh', 'very', 'well', 'then']",4
32,JO,"Yes, Auntie.","['yes', 'auntie']",4
33,MR. DAVIS,Thank you very much Ladies.,"['thank', 'you', 'very', 'much', 'ladies']",4
34,MR. DAVIS,School is dismissed.,"['school', 'is', 'dismissed']",2
35,MR. DAVIS,"Amy March, you may close the door.","['amy', 'march', 'you', 'may', 'close', 'the', 'door']",2
36,MR. DAVIS,"I can see theres nothing for me to do but stop by and show you 
mother how, instead of doing your sums, you cover your slate with 
sketches_c and most uncomplimentary sketches.","['i', 'can', 'see', 'theres', 'nothing', 'for', 'me', 'to', 'do', 'but', 'stop', 'by', 'and', 'show', 'you', 'mother', 'how', 'instead', 'of', 'doing', 'your', 'sums', 'you', 'cover', 'your', 'slate', 'with', 'sketches', 'c', 'and', 'most', 'uncomplimentary', 'sketches']",2
37,AMY,"Oh, please Mr. Davis.","['oh', 'please', 'mr', 'davis']",2
38,MR. DAVIS,"Well, I should hate to spoil her Christmas.","['well', 'i', 'should', 'hate', 'to', 'spoil', 'her', 'christmas']",4
39,AMY,"Oh, thank you, Mr. Davis.","['oh', 'thank', 'you', 'mr', 'davis']",4
40,MR. DAVIS,You may go.,"['you', 'may', 'go']",2
41,AMY,"Oh, thank you, Mr. Davis.","['oh', 'thank', 'you', 'mr', 'davis']",4
42,AMY,"I just said that if I ever told my mother the way he treated me 
shed take me out of his old school.","['i', 'just', 'said', 'that', 'if', 'i', 'ever', 'told', 'my', 'mother', 'the', 'way', 'he', 'treated', 'me', 'shed', 'take', 'me', 'out', 'of', 'his', 'old', 'school']",2
43,BETH,"Oh, Hello.","['oh', 'hello']",2
44,HANNAH,"Thank you, Beth.","['thank', 'you', 'beth']",4
45,BETH,Are they coming?,"['are', 'they', 'coming']",2
46,HANNAH,Just passed the Laurence house.,"['just', 'passed', 'the', 'laurence', 'house']",2
47,JO,Christopher Columbus.,"['christopher', 'columbus']",2
48,MEG,Joe!,['joe'],2
49,JO,I dont care.,"['i', 'dont', 'care']",2
50,MR. LAURENCE,How do you do?,"['how', 'do', 'you', 'do']",2
51,AMY,Makes my knees chatter just to look at him.,"['makes', 'my', 'knees', 'chatter', 'just', 'to', 'look', 'at', 'him']",2
52,JO,"I feel sorry for that poor boy shut up all alone with such an old 
ogre for a grandfather.","['i', 'feel', 'sorry', 'for', 'that', 'poor', 'boy', 'shut', 'up', 'all', 'alone', 'with', 'such', 'an', 'old', 'ogre', 'for', 'a', 'grandfather']",0
53,AMY,Where?,['where'],2
54,MEG,"Dont point, Joe.","['dont', 'point', 'joe']",0
55,JO,Hes gone anyway.,"['hes', 'gone', 'anyway']",2
56,MEG,Jo!,['jo'],2
57,LAURIE,Hey!,['hey'],2
58,BETH,Jo.,['jo'],2
59,JO,Merry Christmas from Aunt March.,"['merry', 'christmas', 'from', 'aunt', 'march']",2
60,BETH,For me?,"['for', 'me']",2
61,JO,"Yes, darling.","['yes', 'darling']",4
62,AMY,"We got one, too.","['we', 'got', 'one', 'too']",2
63,MEG,"What are you going to do with it, dear?","['what', 'are', 'you', 'going', 'to', 'do', 'with', 'it', 'dear']",2
64,BETH,I dont know.,"['i', 'dont', 'know']",2
65,JO,"A dollar couldnt do the army much good, so Im going to buy 
Undine and Sintram.","['a', 'dollar', 'couldnt', 'do', 'the', 'army', 'much', 'good', 'so', 'im', 'going', 'to', 'buy', 'undine', 'and', 'sintram']",2
66,MEG,Im sure Marmee would approve if I got some new gloves.,"['im', 'sure', 'marmee', 'would', 'approve', 'if', 'i', 'got', 'some', 'new', 'gloves']",4
67,AMY,I should get a nice box of Fabers drawing pencils.,"['i', 'should', 'get', 'a', 'nice', 'box', 'of', 'fabers', 'drawing', 'pencils']",2
68,BETH,Then _c Then Id like to spend mine for some new music.,"['then', 'c', 'then', 'id', 'like', 'to', 'spend', 'mine', 'for', 'some', 'new', 'music']",2
69,JO,Lets each buy what we want and have a little fun.,"['lets', 'each', 'buy', 'what', 'we', 'want', 'and', 'have', 'a', 'little', 'fun']",4
70,MEG,"Well, I know I do.","['well', 'i', 'know', 'i', 'do']",2
71,JO,"Well, what would you do if you were shut up all day with a fussy 
old crosspatch who flies off the handle every move you make.","['well', 'what', 'would', 'you', 'do', 'if', 'you', 'were', 'shut', 'up', 'all', 'day', 'with', 'a', 'fussy', 'old', 'crosspatch', 'who', 'flies', 'off', 'the', 'handle', 'every', 'move', 'you', 'make']",0
72,AMY,"Joe, dont use slang.","['joe', 'dont', 'use', 'slang']",0
73,JO,"""Liable"", ""liable"".","['liable', 'liable']",2
74,AMY,"I know what I mean and you neednt be ""statirical"" about it.","['i', 'know', 'what', 'i', 'mean', 'and', 'you', 'neednt', 'be', 'statirical', 'about', 'it']",2
75,JO,Arent we elegant?,"['arent', 'we', 'elegant']",2
76,AMY,Youd never be thought so with your slang and manners.,"['youd', 'never', 'be', 'thought', 'so', 'with', 'your', 'slang', 'and', 'manners']",0
77,JO,I hope not.,"['i', 'hope', 'not']",0
78,AMY,"Well, you neednt whistle like a boy.","['well', 'you', 'neednt', 'whistle', 'like', 'a', 'boy']",0
79,JO,Thats why I do it.,"['thats', 'why', 'i', 'do', 'it']",2
80,AMY,"Oh, I detest rude unladylike girls.","['oh', 'i', 'detest', 'rude', 'unladylike', 'girls']",0
81,JO,"I hate affected, niminy-piminy chits.","['i', 'hate', 'affected', 'niminy', 'piminy', 'chits']",0
82,BETH,Birds in their little nests agree.,"['birds', 'in', 'their', 'little', 'nests', 'agree']",2
83,MEG,"Really, youre both to blame.","['really', 'youre', 'both', 'to', 'blame']",0
84,JO,"No, Im not.","['no', 'im', 'not']",0
85,MEG,Jo!,['jo'],2
86,BETH,Look.,['look'],2
87,MEG,"Youre a dear, and nothing else.","['youre', 'a', 'dear', 'and', 'nothing', 'else']",2
